time,open,high,low,close
2021-05-24T13:00:00-04:00,13639,13665.75,13634.5,13657.25
2021-05-24T14:00:00-04:00,13657.75,13686,13656.25,13679
2021-05-24T15:00:00-04:00,13678.75,13684,13631.25,13637.5
2021-05-24T16:00:00-04:00,13638,13656.25,13632.5,13649.5
2021-05-24T18:00:00-04:00,13656.5,13665.5,13636.25,13665
2021-05-24T19:00:00-04:00,13665.25,13669.75,13651,13656.75
2021-05-24T20:00:00-04:00,13656.5,13672,13632,13661.5
2021-05-24T21:00:00-04:00,13662.25,13674,13643.5,13655.5
2021-05-24T22:00:00-04:00,13656,13670,13651.25,13666
2021-05-24T23:00:00-04:00,13666.75,13678.5,13664.75,13669.5
2021-05-25T00:00:00-04:00,13669,13672.5,13665.25,13670
2021-05-25T01:00:00-04:00,13669.75,13698,13667.25,13692.5
2021-05-25T02:00:00-04:00,13692.5,13738.75,13688.75,13730
2021-05-25T03:00:00-04:00,13730,13736,13711.5,13718.5
2021-05-25T04:00:00-04:00,13718.5,13721,13694.25,13710.25
2021-05-25T05:00:00-04:00,13710.25,13719.75,13702.75,13718
2021-05-25T06:00:00-04:00,13718,13726,13684.5,13686.75
2021-05-25T07:00:00-04:00,13686.75,13719.5,13675.75,13712.5
2021-05-25T08:00:00-04:00,13712,13717.5,13695.25,13702.25
2021-05-25T09:00:00-04:00,13703,13732.5,13651,13652
2021-05-25T10:00:00-04:00,13651.5,13686.5,13636.5,13680
2021-05-25T11:00:00-04:00,13680,13683.75,13606.75,13643.25
2021-05-25T12:00:00-04:00,13643.25,13657.5,13629.5,13639.25
2021-05-25T13:00:00-04:00,13639.5,13662.5,13616.25,13649.75
2021-05-25T14:00:00-04:00,13650,13654.5,13625,13644
2021-05-25T15:00:00-04:00,13644,13659.25,13620,13656.25
2021-05-25T16:00:00-04:00,13656.75,13671.25,13650.5,13668.25
2021-05-25T18:00:00-04:00,13670.25,13701.75,13663.5,13696
2021-05-25T19:00:00-04:00,13696,13697.75,13685.75,13695
2021-05-25T20:00:00-04:00,13694.25,13719.75,13689.5,13712.75
2021-05-25T21:00:00-04:00,13712.75,13720,13697.75,13704.25
2021-05-25T22:00:00-04:00,13703.25,13715.5,13701.5,13709.75
2021-05-25T23:00:00-04:00,13709.5,13713.25,13705.25,13705.5
2021-05-26T00:00:00-04:00,13705.25,13709.25,13700.75,13706.25
2021-05-26T01:00:00-04:00,13706.75,13718.5,13706,13713.25
2021-05-26T02:00:00-04:00,13713,13717.75,13671.25,13710.75
2021-05-26T03:00:00-04:00,13710.75,13714.25,13672.5,13697
2021-05-26T04:00:00-04:00,13696.75,13707,13683,13689
2021-05-26T05:00:00-04:00,13688.75,13713.75,13683.25,13688
2021-05-26T06:00:00-04:00,13688,13703.5,13685.75,13700.25
2021-05-26T07:00:00-04:00,13701,13728.5,13697.25,13711.25
2021-05-26T08:00:00-04:00,13712,13724,13693.25,13700.5
2021-05-26T09:00:00-04:00,13700.75,13708.75,13662,13671
2021-05-26T10:00:00-04:00,13670.75,13713.25,13656,13706.75
2021-05-26T11:00:00-04:00,13706.75,13718,13679.5,13713.25
2021-05-26T12:00:00-04:00,13713.5,13724.75,13707.5,13711.5
2021-05-26T13:00:00-04:00,13711,13724.25,13675.75,13686.5
2021-05-26T14:00:00-04:00,13686.75,13711.5,13683.25,13702.5
2021-05-26T15:00:00-04:00,13702.5,13708.75,13677.75,13701.75
2021-05-26T16:00:00-04:00,13701.5,13709.25,13699.75,13702.75
2021-05-26T18:00:00-04:00,13702.5,13717.25,13698.25,13704.25
2021-05-26T19:00:00-04:00,13704.25,13708.25,13693.25,13707.75
2021-05-26T20:00:00-04:00,13707.5,13713.5,13684,13694.25
2021-05-26T21:00:00-04:00,13694,13695.75,13661.25,13673
2021-05-26T22:00:00-04:00,13673,13680,13663.5,13673
2021-05-26T23:00:00-04:00,13673,13682.75,13665.5,13678.5
2021-05-27T00:00:00-04:00,13678,13679.25,13665.25,13674.75
2021-05-27T01:00:00-04:00,13674.5,13686.5,13661.25,13685
2021-05-27T02:00:00-04:00,13684.5,13687.75,13642.5,13652.25
2021-05-27T03:00:00-04:00,13652.75,13662,13620.75,13633.75
2021-05-27T04:00:00-04:00,13634,13653.5,13627.5,13633.25
2021-05-27T05:00:00-04:00,13633.75,13641.25,13620.25,13629
2021-05-27T06:00:00-04:00,13629.5,13653.75,13624.25,13646.5
2021-05-27T07:00:00-04:00,13646.25,13669.25,13634.25,13667.25
2021-05-27T08:00:00-04:00,13667.25,13682.75,13622,13662.25
2021-05-27T09:00:00-04:00,13661.5,13698.75,13644,13655.5
2021-05-27T10:00:00-04:00,13655.5,13720.75,13646.25,13683.25
2021-05-27T11:00:00-04:00,13683.25,13711,13678,13708.25
2021-05-27T12:00:00-04:00,13708,13713.5,13691,13703
2021-05-27T13:00:00-04:00,13702.75,13710.75,13679,13686.75
2021-05-27T14:00:00-04:00,13687,13688.25,13650.25,13664.75
2021-05-27T15:00:00-04:00,13665,13678.75,13646.75,13652.25
