Time,Open,High,Low,Close,Volume
2023-08-02 22:00:00,15376.409,15387.989,15368.589,15385.809,60,3389
2023-08-02 23:00:00,15385.757,15389.239,15357.519,15360.529,60,3386
2023-08-03 00:00:00,15360.567,15384.599,15346.809,15368.609,60,3352
2023-08-03 01:00:00,15369.549,15376.559,15310.099,15310.099,60,3354
2023-08-03 02:00:00,15310.579,15318.109,15247.539,15253.949,60,3347
2023-08-03 03:00:00,15253.999,15310.499,15253.079,15300.109,60,3323
2023-08-03 04:00:00,15300.409,15334.389,15299.539,15324.879,60,3361
2023-08-03 05:00:00,15324.847,15346.599,15313.349,15320.209,60,3360
2023-08-03 06:00:00,15320.769,15353.499,15303.039,15311.539,60,3359
2023-08-03 07:00:00,15311.517,15317.489,15270.829,15286.929,60,3359
2023-08-03 08:00:00,15285.409,15371.789,15259.879,15349.987,60,3356
2023-08-03 09:00:00,15349.829,15380.389,15268.579,15340.219,60,1359
2023-08-03 10:00:00,15339.869,15400.029,15331.209,15367.239,60,1349
2023-08-03 11:00:00,15366.999,15437.789,15356.519,15422.259,60,1364
2023-08-03 12:00:00,15422.339,15429.499,15363.729,15366.399,60,1357
2023-08-03 13:00:00,15366.407,15394.759,15353.449,15389.309,60,1344
2023-08-03 14:00:00,15390.069,15390.799,15329.309,15348.019,60,1356
2023-08-03 15:00:00,15348.109,15440.619,15327.249,15430.019,15,1365
2023-08-03 17:00:00,15353.419,15397.489,15344.589,15390.379,60,3447
2023-08-03 18:00:00,15390.499,15411.359,15377.099,15394.489,60,3334
2023-08-03 19:00:00,15394.489,15422.099,15379.799,15421.329,60,3355
2023-08-03 20:00:00,15421.337,15448.799,15412.239,15429.589,60,3378
2023-08-03 21:00:00,15429.557,15444.989,15411.369,15424.039,60,3368
2023-08-03 22:00:00,15424.009,15439.799,15422.419,15426.399,60,3391
2023-08-03 23:00:00,15426.387,15435.929,15425.419,15429.009,60,3372
2023-08-04 00:00:00,15428.919,15473.259,15421.819,15465.819,60,3391
2023-08-04 01:00:00,15465.509,15469.199,15444.219,15446.849,60,3371
2023-08-04 02:00:00,15446.989,15447.589,15399.339,15441.059,60,3376
2023-08-04 03:00:00,15441.019,15471.109,15424.349,15433.099,60,3338
2023-08-04 04:00:00,15432.857,15458.509,15431.459,15437.939,60,3378
2023-08-04 05:00:00,15437.967,15437.967,15394.419,15402.999,60,3357
2023-08-04 06:00:00,15401.999,15404.379,15345.019,15366.569,60,3356
2023-08-04 07:00:00,15366.567,15449.489,15315.399,15426.579,60,3360
2023-08-04 08:00:00,15426.799,15496.279,15356.579,15365.939,60,3337
2023-08-04 09:00:00,15366.059,15445.319,15310.009,15435.789,60,1347
2023-08-04 10:00:00,15435.789,15498.019,15429.809,15487.429,60,1346
2023-08-04 11:00:00,15487.449,15527.299,15465.389,15511.919,60,1363
2023-08-04 12:00:00,15512.429,15515.269,15434.089,15441.989,60,1359
2023-08-04 13:00:00,15441.039,15441.039,15276.509,15290.969,60,1355
2023-08-04 14:00:00,15291.039,15325.789,15254.739,15273.909,60,1336
2023-08-04 15:00:00,15274.379,15294.279,15274.379,15287.359,15,1351
2023-08-07 00:00:00,15349.677,15356.199,15333.629,15351.189,60,3373
2023-08-07 01:00:00,15350.659,15356.889,15319.999,15333.739,60,3366
2023-08-07 02:00:00,15334.139,15381.669,15328.779,15377.559,60,3345
2023-08-07 03:00:00,15377.599,15380.399,15321.729,15337.139,60,3343
2023-08-07 04:00:00,15336.769,15358.299,15328.009,15348.189,60,3352
2023-08-07 05:00:00,15347.929,15352.959,15310.619,15331.749,60,3365
